company_name,description,sector,stage,geography,traction,founder_background,referral_source
FlowForge,Market article education analysis ball take soldier start issue east city next its.,LegalTech,Seed,Netherlands,20 enterprise pilots,Ex-Google engineer,Cold inbound
FlowOps,Person discussion political tell drug he film ten.,LegalTech,Pre-seed,UK,£30k MRR,Ex-Stripe engineer,Partner referral
CarbonLabs,Thank rich central yeah cause however.,LegalTech,Series B,Germany,Growing ARR,Ex-Stripe engineer,Partner referral
LogicAI,Many try air final much discover special easy think example hour.,HR Tech,Series A,Canada,Growing ARR,Ex-Google engineer,Cold inbound
CloudCloud,Head night control program discussion conference eye.,Climate SaaS,Seed,France,20 enterprise pilots,Ex-Stripe engineer,Event
CloudAI,Study moment east people Mr Democrat government sense fast exactly better water thought while.,Developer Tools,Pre-seed,UK,Growing ARR,Repeat founder,Event
CarbonAI,Letter dog image decade woman material she college.,Supply Chain SaaS,Pre-seed,Canada,20 enterprise pilots,Ex-Stripe engineer,Event
DataWorks,Worry range too table toward major talk establish prove admit but.,HR Tech,Pre-seed,Spain,20 enterprise pilots,Repeat founder,Event
FinIQ,Believe discuss feel skin direction choice project.,FinTech SaaS,Series B,US,12 customers,Ex-Google engineer,Partner referral
PayWorks,Goal beyond according suggest table oil listen on.,Enterprise AI,Series B,Germany,12 customers,Former McKinsey consultant,Website
DataAI,Success write today although look determine half argue game movement well.,LegalTech,Pre-seed,UK,20 enterprise pilots,Repeat founder,Website
CarbonStack,Second feeling all recognize development drop other value.,FinTech SaaS,Seed,France,12 customers,Former SAP product lead,Cold inbound
CloudPilot,Off team many successful low blue sound fight task.,HealthTech B2B,Pre-seed,US,12 customers,AI researcher from Cambridge,Warm intro
CarbonPilot,Suggest suddenly job participant exactly onto should.,FinTech SaaS,Pre-seed,US,20 enterprise pilots,Ex-Google engineer,Website
CoreWorks,Executive institution answer control leg ability son which his.,Developer Tools,Seed,US,12 customers,Repeat founder,Cold inbound
GridAI,Question way agreement act include oil local ok.,FinTech SaaS,Series B,Canada,12 customers,Ex-Stripe engineer,Warm intro
PayBridge,Pass but work hand attention care pressure picture manager standard sea want small.,Enterprise AI,Seed,US,Growing ARR,Repeat founder,Cold inbound
CloudAI,Police address situation good democratic in year senior avoid throughout either church.,FinTech SaaS,Pre-seed,US,20 enterprise pilots,Repeat founder,Warm intro
PayIQ,Adult face top structure employee both matter little on record.,Supply Chain SaaS,Seed,Netherlands,20 enterprise pilots,Ex-Stripe engineer,Website
PayAI,Mind treat argue type during next sea off employee could however audience age.,Developer Tools,Seed,US,20 enterprise pilots,AI researcher from Cambridge,Warm intro
PayForge,Home similar computer research phone even theory.,HR Tech,Seed,Germany,20 enterprise pilots,Former SAP product lead,Cold inbound
FinBridge,Take strong mind case none bank painting action three energy pattern.,Developer Tools,Series B,Canada,20 enterprise pilots,Ex-Google engineer,Partner referral
DataLabs,Lawyer quite continue onto him arrive air view.,B2B SaaS,Series B,Germany,20 enterprise pilots,Former McKinsey consultant,Website
GridWorks,Travel key yes note large know of rock work family culture.,Cybersecurity,Pre-seed,US,20 enterprise pilots,Former McKinsey consultant,Website
GridOps,Night ago before line under house capital son role stand of.,Enterprise AI,Series A,US,Growing ARR,AI researcher from Cambridge,Event
PayAI,Direction evidence concern effect street set interesting organization interview.,FinTech SaaS,Series A,Germany,12 customers,Ex-Stripe engineer,Warm intro
CoreLabs,Class north else bed national prevent something art last contain.,Developer Tools,Series A,Netherlands,£30k MRR,Former McKinsey consultant,Event
FlowPilot,Majority minute once ten kind tell man hour step make necessary what.,B2B SaaS,Series B,UK,20 enterprise pilots,Ex-Google engineer,Cold inbound
DataStack,Guy low now material network inside move ability list play ok.,HealthTech B2B,Series A,US,£30k MRR,AI researcher from Cambridge,Website
CloudPilot,Section probably agency myself focus animal simple finish go read decade pressure.,HR Tech,Series A,Netherlands,12 customers,Repeat founder,Partner referral
FlowLabs,Recently chair view site travel lead day mention analysis play treat authority democratic.,HR Tech,Seed,Spain,12 customers,Former McKinsey consultant,Event
FinPilot,Sell newspaper cut over even positive real military money success.,Enterprise AI,Seed,Netherlands,12 customers,Former McKinsey consultant,Cold inbound
ScaleWorks,Consumer lot growth remain though level simple like federal author piece.,Supply Chain SaaS,Series B,Canada,20 enterprise pilots,AI researcher from Cambridge,Warm intro
GridForge,Nothing pattern ok economic believe project name simple remember.,HealthTech B2B,Series A,UK,20 enterprise pilots,AI researcher from Cambridge,Website
FlowWorks,Discuss so establish radio discover any back including sell home.,Climate SaaS,Pre-seed,UK,20 enterprise pilots,Former McKinsey consultant,Event
DataCloud,Mission common weight despite right suggest why message because success science traditional community.,HR Tech,Seed,US,Growing ARR,Former McKinsey consultant,Cold inbound
FlowBridge,Structure section wrong hundred church reach road.,B2B SaaS,Pre-seed,Canada,Growing ARR,Former SAP product lead,Partner referral
CloudCloud,Each market difficult woman hour side thing feel piece.,B2B SaaS,Seed,Canada,£30k MRR,Former McKinsey consultant,Partner referral
ScaleForge,News real expert range practice professor.,Supply Chain SaaS,Series A,Canada,Growing ARR,Repeat founder,Event
LogicForge,Finally size leader young discover between policy industry.,LegalTech,Seed,US,Growing ARR,Former McKinsey consultant,Website
FlowPilot,Base order late cup room environmental within.,Supply Chain SaaS,Series B,US,20 enterprise pilots,Ex-Google engineer,Cold inbound
DataPilot,Activity affect lot study him join animal land heavy happen run position.,Cybersecurity,Series A,France,12 customers,Repeat founder,Warm intro
CarbonBridge,Away director image vote follow front bar tell room.,Cybersecurity,Series B,US,20 enterprise pilots,AI researcher from Cambridge,Partner referral
DataLabs,Skin former past sea health hope series attack go instead example activity.,HR Tech,Series A,Spain,Growing ARR,Former McKinsey consultant,Warm intro
FlowLabs,Stock knowledge machine not which write position save top.,HR Tech,Pre-seed,Canada,Growing ARR,Former McKinsey consultant,Warm intro
PayPilot,Hear music can need such behavior those what family who through.,HR Tech,Series B,Spain,20 enterprise pilots,Former McKinsey consultant,Partner referral
GridLabs,Option fly politics letter hundred year little those.,LegalTech,Pre-seed,Netherlands,12 customers,AI researcher from Cambridge,Cold inbound
CarbonCloud,Edge run action learn dream enjoy.,Climate SaaS,Pre-seed,Netherlands,£30k MRR,Ex-Stripe engineer,Cold inbound
CarbonCloud,Win name consumer different later black line whatever offer laugh remember team.,Climate SaaS,Pre-seed,France,Growing ARR,Ex-Google engineer,Partner referral
ScaleStack,Author or mother success however finally popular buy step.,Developer Tools,Series B,France,Growing ARR,Ex-Google engineer,Warm intro
ScaleAI,Say nice matter grow war report.,Supply Chain SaaS,Pre-seed,France,20 enterprise pilots,AI researcher from Cambridge,Warm intro
FinAI,For feeling draw nature not culture red garden difficult season little.,Cybersecurity,Seed,Canada,£30k MRR,Repeat founder,Partner referral
FlowBridge,Maintain cause firm very theory attorney resource while.,LegalTech,Pre-seed,Spain,20 enterprise pilots,Former McKinsey consultant,Website
PayBridge,Sport inside question choose air baby product large.,HealthTech B2B,Pre-seed,Canada,20 enterprise pilots,Ex-Google engineer,Warm intro
CoreAI,Glass price group manage director listen race kind long really under front.,Enterprise AI,Series B,Netherlands,20 enterprise pilots,Ex-Stripe engineer,Event
FlowOps,Couple station tax give reflect clearly.,Enterprise AI,Pre-seed,Canada,£30k MRR,Ex-Google engineer,Event
LogicStack,Night indeed always then fight certainly why control a.,FinTech SaaS,Series A,UK,Growing ARR,Former McKinsey consultant,Warm intro
LogicStack,Find million truth service develop teacher true feel.,LegalTech,Seed,Netherlands,20 enterprise pilots,AI researcher from Cambridge,Event
GridIQ,Fill miss agency worker power Mr movie.,Supply Chain SaaS,Series B,Netherlands,Growing ARR,AI researcher from Cambridge,Event
GridStack,Billion sense spring me who drug.,Cybersecurity,Pre-seed,France,Growing ARR,Former SAP product lead,Cold inbound
CoreIQ,Standard matter majority black tend skill even design record note.,HR Tech,Series A,UK,Growing ARR,Ex-Google engineer,Partner referral
ScaleWorks,Parent hundred commercial church season according surface last with early decision.,Developer Tools,Series A,France,12 customers,Repeat founder,Website
CloudAI,Remain chance bad chance seek stuff.,Supply Chain SaaS,Seed,UK,20 enterprise pilots,AI researcher from Cambridge,Cold inbound
ScaleForge,Group top left bank main them.,Cybersecurity,Series B,US,Growing ARR,Former McKinsey consultant,Warm intro
DataPilot,Last surface international difficult official election bill may next evening note.,Cybersecurity,Series B,US,20 enterprise pilots,Ex-Google engineer,Event
PayCloud,Fire issue similar increase seek else.,Supply Chain SaaS,Series A,Netherlands,12 customers,Ex-Google engineer,Cold inbound
GridPilot,Performance suffer purpose with attorney hand seem body probably audience south pretty.,Enterprise AI,Seed,UK,20 enterprise pilots,Ex-Google engineer,Warm intro
CloudBridge,Quickly win receive moment hard rather laugh foreign beautiful.,Cybersecurity,Seed,US,Growing ARR,Ex-Google engineer,Event
CloudIQ,Future yard car available save without owner very yet parent blue finally.,Enterprise AI,Pre-seed,Canada,20 enterprise pilots,Ex-Google engineer,Partner referral
PayBridge,Nature inside dream American anyone window oil similar power knowledge.,Enterprise AI,Pre-seed,US,20 enterprise pilots,Ex-Google engineer,Warm intro
FinForge,Military size find watch huge number.,Enterprise AI,Seed,US,Growing ARR,Ex-Stripe engineer,Warm intro
CorePilot,Positive everyone new why by any group certainly walk either answer.,LegalTech,Series B,Netherlands,12 customers,Former SAP product lead,Warm intro
GridCloud,Want test develop little send price west word affect model student.,FinTech SaaS,Pre-seed,Netherlands,Growing ARR,Ex-Stripe engineer,Event
FinBridge,Research personal prove eight book source exactly side.,Climate SaaS,Series A,UK,20 enterprise pilots,Ex-Stripe engineer,Event
LogicIQ,Popular perform opportunity safe coach a create economic because simply two piece.,HealthTech B2B,Seed,Canada,Growing ARR,Former McKinsey consultant,Cold inbound
GridIQ,My anyone onto character debate since society student special hot politics push executive.,HR Tech,Series A,Spain,£30k MRR,Repeat founder,Warm intro
FlowWorks,Impact big worker hour each agree.,Enterprise AI,Pre-seed,Germany,20 enterprise pilots,Former SAP product lead,Event
DataBridge,Medical election either game financial newspaper notice per admit up loss general.,B2B SaaS,Series B,Netherlands,Growing ARR,Ex-Google engineer,Warm intro
FlowPilot,Herself whether since easy from line bit audience edge fight soldier soon.,Enterprise AI,Series B,UK,20 enterprise pilots,Ex-Google engineer,Event
FlowLabs,Present traditional scientist one amount political prove water them life.,FinTech SaaS,Seed,US,20 enterprise pilots,Ex-Google engineer,Partner referral
DataAI,Certain if charge sense Congress believe.,Climate SaaS,Series A,Spain,12 customers,Former McKinsey consultant,Warm intro
ScalePilot,Step maintain smile suffer more above analysis.,HR Tech,Series A,Spain,Growing ARR,Former McKinsey consultant,Warm intro
CoreAI,Wear standard home present place national key plan.,HR Tech,Series A,Spain,12 customers,Ex-Stripe engineer,Warm intro
FlowIQ,Tell form television mouth sport memory.,HealthTech B2B,Pre-seed,Canada,12 customers,Repeat founder,Warm intro
CarbonCloud,Although everybody bed give letter bag participant attention program stop everyone decide card.,Supply Chain SaaS,Series B,France,20 enterprise pilots,Repeat founder,Cold inbound
ScaleOps,Finally push find true whom husband road find.,LegalTech,Series A,Netherlands,12 customers,Ex-Google engineer,Warm intro
CarbonStack,Suddenly become treatment appear stand last share PM discuss heavy full party book.,HR Tech,Series B,France,Growing ARR,Repeat founder,Warm intro
ScaleOps,Material care off interest modern board memory position executive.,Developer Tools,Series A,France,£30k MRR,Former McKinsey consultant,Event
FinForge,Need commercial history give a pattern artist simply any instead especially agree.,LegalTech,Series B,UK,20 enterprise pilots,Repeat founder,Website
CoreCloud,Summer challenge compare can suddenly mind positive away east another worker.,LegalTech,Pre-seed,Germany,12 customers,Repeat founder,Partner referral
GridCloud,Capital pass cell story woman large.,LegalTech,Pre-seed,UK,20 enterprise pilots,AI researcher from Cambridge,Partner referral
GridForge,Require truth maintain outside personal watch require.,B2B SaaS,Series B,UK,20 enterprise pilots,Ex-Stripe engineer,Cold inbound
DataBridge,Color response ask impact mission player black reflect certain result.,LegalTech,Series A,Spain,12 customers,Former McKinsey consultant,Cold inbound
ScaleWorks,Our coach too another billion radio relationship method provide how enough pattern.,LegalTech,Seed,Netherlands,20 enterprise pilots,Repeat founder,Event
CarbonOps,Talk field rise sing environment someone early.,Enterprise AI,Series B,France,12 customers,Ex-Stripe engineer,Website
GridIQ,Business serve recognize suffer way name tonight sort job agent.,HealthTech B2B,Series B,Canada,20 enterprise pilots,Former McKinsey consultant,Event
ScaleStack,At require pressure hold pressure market hotel.,Developer Tools,Series B,Netherlands,12 customers,Former SAP product lead,Partner referral
CoreLabs,President worry guy space ago Congress lawyer now at model player seat.,Cybersecurity,Series B,UK,12 customers,AI researcher from Cambridge,Cold inbound
LogicLabs,Seem certain budget kitchen another four identify create structure.,Climate SaaS,Series B,UK,20 enterprise pilots,Repeat founder,Event
PayOps,We condition property trip box line any simply different fear special will.,LegalTech,Pre-seed,Spain,Growing ARR,Ex-Stripe engineer,Partner referral
LogicBridge,Exactly so will store central value.,FinTech SaaS,Series B,Canada,12 customers,Ex-Google engineer,Event
LogicOps,Collection such identify nation teacher well sell.,Developer Tools,Series B,France,Growing ARR,Repeat founder,Warm intro
CoreOps,Most animal she five media there.,Cybersecurity,Series A,Germany,£30k MRR,Former McKinsey consultant,Warm intro
DataCloud,Office movie court smile industry ground water allow outside inside suffer.,Climate SaaS,Series A,UK,£30k MRR,Ex-Google engineer,Warm intro
GridStack,Successful draw civil source picture experience operation population admit.,Developer Tools,Series B,Germany,20 enterprise pilots,Repeat founder,Cold inbound
CoreBridge,Heart step near rock put building.,Climate SaaS,Seed,UK,Growing ARR,Repeat founder,Partner referral
ScaleIQ,Man any church quickly answer soon spring dinner perform land.,Climate SaaS,Seed,Netherlands,12 customers,Former McKinsey consultant,Website
FinCloud,Add position trade history share option machine heart state trade.,Enterprise AI,Seed,UK,Growing ARR,Ex-Google engineer,Event
GridLabs,Fund strong risk know star risk stop after office leave.,Enterprise AI,Series B,Canada,12 customers,Former SAP product lead,Cold inbound
ScaleOps,Itself some generation attention level somebody data happy town enough line west Republican.,Cybersecurity,Series B,Spain,12 customers,Repeat founder,Website
GridAI,Worker really cover develop occur act international character sometimes dog.,HR Tech,Series A,UK,£30k MRR,Repeat founder,Cold inbound
GridWorks,Training require alone cell food class century health size few.,HealthTech B2B,Series A,Germany,20 enterprise pilots,Repeat founder,Website
CarbonOps,Science take east poor can item at difference manager vote.,B2B SaaS,Series A,Canada,Growing ARR,Ex-Stripe engineer,Event
PayBridge,Size cultural box officer security party house.,FinTech SaaS,Series A,France,Growing ARR,Former SAP product lead,Partner referral
CarbonForge,Price or notice reality science general anything side both image.,Developer Tools,Series A,Canada,20 enterprise pilots,Ex-Google engineer,Cold inbound
GridStack,Require smile every pick nearly walk.,FinTech SaaS,Series B,UK,20 enterprise pilots,Former SAP product lead,Cold inbound
CloudStack,Three why why statement table order relate raise executive.,FinTech SaaS,Series B,UK,12 customers,Repeat founder,Warm intro
ScaleStack,Quite apply born if owner account upon power brother return recent.,Enterprise AI,Series B,Canada,12 customers,Ex-Stripe engineer,Partner referral
ScaleAI,Third ready will pressure heavy new push.,HealthTech B2B,Series A,Spain,20 enterprise pilots,AI researcher from Cambridge,Warm intro
ScalePilot,Few fall rock suggest bill rate eye society to.,HR Tech,Pre-seed,Germany,£30k MRR,Ex-Stripe engineer,Website
ScaleOps,During forward give your contain tough voice wait perhaps create people record.,FinTech SaaS,Seed,Spain,20 enterprise pilots,Former McKinsey consultant,Cold inbound
PayForge,Fill wait born sure know decade usually feel describe glass.,HR Tech,Seed,Netherlands,£30k MRR,Former McKinsey consultant,Event
LogicPilot,Attack democratic will response indeed law financial pull leader.,B2B SaaS,Series A,Germany,Growing ARR,Former McKinsey consultant,Partner referral
PayOps,Without campaign economy life others employee than day something white issue receive the.,Developer Tools,Series A,UK,Growing ARR,Ex-Google engineer,Partner referral
DataCloud,Across history fill development child understand floor trip rule character tonight meeting group.,FinTech SaaS,Seed,US,£30k MRR,Ex-Stripe engineer,Website
FlowBridge,Design go police stay mother must how upon growth on.,HealthTech B2B,Seed,UK,20 enterprise pilots,Repeat founder,Partner referral
FlowStack,Gun air control for finish gas.,Climate SaaS,Pre-seed,France,20 enterprise pilots,Former SAP product lead,Event
GridBridge,Save lot everybody through especially later environmental daughter write exist yard them.,FinTech SaaS,Pre-seed,Germany,£30k MRR,Ex-Google engineer,Partner referral
CoreStack,Should author soldier should minute end event open describe most.,B2B SaaS,Seed,France,£30k MRR,Former SAP product lead,Cold inbound
CloudOps,Their present institution policy these how western here various per later.,FinTech SaaS,Series B,Netherlands,12 customers,Repeat founder,Event
DataCloud,You television music reflect special big both Democrat kitchen.,Supply Chain SaaS,Seed,Spain,£30k MRR,AI researcher from Cambridge,Event
GridCloud,Behind doctor also expert different especially allow example.,B2B SaaS,Pre-seed,Netherlands,Growing ARR,Former McKinsey consultant,Warm intro
ScaleCloud,Even difference game director water situation.,FinTech SaaS,Pre-seed,France,20 enterprise pilots,Ex-Stripe engineer,Partner referral
GridIQ,Guess defense value lay someone work central.,HealthTech B2B,Series A,Netherlands,12 customers,Former McKinsey consultant,Event
CoreLabs,Carry style record direction need use dark anyone class simple stuff.,FinTech SaaS,Pre-seed,Canada,20 enterprise pilots,Former McKinsey consultant,Cold inbound
FlowLabs,Size man hand region prevent fill course.,Developer Tools,Series B,Netherlands,Growing ARR,AI researcher from Cambridge,Warm intro
PayLabs,Stay charge system carry six remain movement citizen economic reason.,Developer Tools,Series A,France,20 enterprise pilots,AI researcher from Cambridge,Cold inbound
DataOps,Trip stand white near evening idea everything even.,FinTech SaaS,Pre-seed,Netherlands,£30k MRR,AI researcher from Cambridge,Website
CarbonForge,Area listen win prove common quality couple better a.,B2B SaaS,Series A,US,£30k MRR,Former McKinsey consultant,Website
LogicAI,Quickly those movie safe argue office.,Enterprise AI,Series A,France,£30k MRR,Repeat founder,Event
FlowBridge,Pay financial education keep among crime happy summer share hear receive goal.,LegalTech,Seed,Canada,£30k MRR,Ex-Google engineer,Event
PayOps,Hot more phone develop ago arrive baby.,Enterprise AI,Seed,Canada,Growing ARR,Repeat founder,Event
CoreForge,Develop data knowledge agency only check should group.,B2B SaaS,Series A,UK,20 enterprise pilots,Ex-Google engineer,Website
PayStack,Since pull hit your night consumer.,B2B SaaS,Seed,Canada,20 enterprise pilots,Repeat founder,Cold inbound
DataBridge,Sometimes view positive office federal two prepare try stay.,B2B SaaS,Pre-seed,US,20 enterprise pilots,Former McKinsey consultant,Cold inbound
ScaleStack,Cause score top bring figure himself size senior left.,Climate SaaS,Series A,France,12 customers,Repeat founder,Event
DataAI,Kind southern leader hospital student compare less share very statement.,Climate SaaS,Seed,Canada,£30k MRR,AI researcher from Cambridge,Warm intro
GridCloud,Improve which you national level more blue key.,HR Tech,Series B,Spain,Growing ARR,Former McKinsey consultant,Website
FlowForge,Production occur people try receive pretty experience market.,FinTech SaaS,Series A,Netherlands,£30k MRR,Ex-Google engineer,Event
ScaleForge,Leader build southern computer purpose condition cup truth.,Enterprise AI,Pre-seed,Germany,Growing ARR,Repeat founder,Warm intro
FinWorks,Material yeah wait risk believe example civil force fill art read.,Enterprise AI,Seed,Canada,20 enterprise pilots,Ex-Google engineer,Website
PayOps,Bank grow less fall hold buy military.,B2B SaaS,Series B,US,Growing ARR,Former SAP product lead,Partner referral
LogicForge,With energy during media community option American.,Cybersecurity,Series A,UK,Growing ARR,AI researcher from Cambridge,Warm intro
LogicAI,Back similar beyond federal start six present number whom or its less view.,LegalTech,Pre-seed,Canada,12 customers,Repeat founder,Cold inbound
CoreLabs,Its his out machine nice nation green chance purpose community pattern explain possible.,HR Tech,Series A,UK,Growing ARR,Ex-Stripe engineer,Website
CarbonIQ,Will inside network suddenly still cell bad prepare.,LegalTech,Series A,UK,Growing ARR,Ex-Stripe engineer,Partner referral
LogicIQ,Room result computer its claim particular performance chance car technology base follow.,HR Tech,Pre-seed,Netherlands,12 customers,AI researcher from Cambridge,Website
FlowStack,Tend music call worry hit evidence authority take word site.,Climate SaaS,Pre-seed,Spain,£30k MRR,Repeat founder,Event
FlowStack,Toward interest within region something across camera plant sound fire.,Developer Tools,Seed,Germany,£30k MRR,Former SAP product lead,Website
FlowBridge,Through up arrive southern identify green skill instead.,HealthTech B2B,Seed,Canada,£30k MRR,Former SAP product lead,Cold inbound
ScaleIQ,Computer which probably go beyond something hit administration break shake.,HealthTech B2B,Series B,US,12 customers,AI researcher from Cambridge,Website
CarbonCloud,Child opportunity step worry president gas which yourself month design.,FinTech SaaS,Series B,Netherlands,12 customers,Ex-Google engineer,Event
FinStack,Democrat cause specific past wear child science.,Supply Chain SaaS,Pre-seed,France,Growing ARR,Former McKinsey consultant,Warm intro
FinStack,Future election it can table citizen senior new life body do.,Enterprise AI,Pre-seed,US,£30k MRR,Repeat founder,Event
CloudLabs,Despite reach ten will quality thought wife may father.,LegalTech,Pre-seed,Netherlands,20 enterprise pilots,Ex-Google engineer,Event
ScaleForge,Often reveal series audience seem their PM.,Climate SaaS,Pre-seed,Netherlands,£30k MRR,Ex-Google engineer,Warm intro
CloudBridge,Here college five American meeting who Congress relate.,B2B SaaS,Seed,US,Growing ARR,Former McKinsey consultant,Event
CloudIQ,Official opportunity their relate born room simply person probably give floor miss.,Climate SaaS,Series A,France,12 customers,Former McKinsey consultant,Cold inbound
PayIQ,Hospital political tough which pressure situation interest a painting us however event skill.,B2B SaaS,Series A,UK,12 customers,Ex-Stripe engineer,Event
LogicPilot,Six officer city new bank respond.,Enterprise AI,Seed,France,£30k MRR,Repeat founder,Partner referral
PayPilot,Game rate create heart large common adult tell defense turn they base.,HR Tech,Seed,Spain,£30k MRR,Ex-Google engineer,Event
LogicStack,Thought cell grow training first team high a century country attention talk data.,Climate SaaS,Pre-seed,US,Growing ARR,Repeat founder,Website
FinStack,Reveal kind develop vote share nor hope six.,Enterprise AI,Seed,Germany,12 customers,Former McKinsey consultant,Partner referral
FlowBridge,Peace among participant type large politics mean machine animal without interview about fly stage.,Climate SaaS,Pre-seed,France,£30k MRR,Repeat founder,Event
CloudAI,Reach hit allow by worry health standard few.,Developer Tools,Seed,Spain,Growing ARR,Former SAP product lead,Partner referral
CarbonIQ,Market treat social kitchen close traditional leader those until.,Climate SaaS,Series B,UK,Growing ARR,Ex-Google engineer,Partner referral
ScaleIQ,Commercial war region expect water test more travel.,Enterprise AI,Series B,Germany,20 enterprise pilots,Ex-Google engineer,Cold inbound
FlowStack,Spend Mrs office tell help can send administration.,HealthTech B2B,Series B,Netherlands,12 customers,Former McKinsey consultant,Event
CloudLabs,Maybe increase better require themselves use media debate.,Climate SaaS,Seed,Canada,20 enterprise pilots,Ex-Google engineer,Warm intro
ScaleStack,Customer seek decide policy decision direction account eight.,Supply Chain SaaS,Pre-seed,US,£30k MRR,Ex-Google engineer,Warm intro
CarbonPilot,Show late notice bag security success pay industry federal.,LegalTech,Seed,Canada,Growing ARR,Ex-Stripe engineer,Partner referral
ScaleStack,Today information fill yet adult medical day lead military.,B2B SaaS,Series B,UK,Growing ARR,Repeat founder,Website
FlowLabs,Best happy party take here attorney.,FinTech SaaS,Series A,Germany,£30k MRR,Ex-Google engineer,Warm intro
PayBridge,Short book marriage surface sort center message care clear.,Climate SaaS,Pre-seed,France,Growing ARR,AI researcher from Cambridge,Partner referral
ScaleCloud,Practice technology develop have full party show.,HealthTech B2B,Pre-seed,UK,£30k MRR,Ex-Google engineer,Partner referral
CarbonForge,Something chance moment prepare yard candidate study ability.,HealthTech B2B,Series B,UK,12 customers,Former SAP product lead,Website
DataAI,Seat nation agent civil claim age others big rate during artist big.,Cybersecurity,Series B,US,Growing ARR,Ex-Stripe engineer,Warm intro
ScaleIQ,Wide gun record those return hotel material concern third.,Supply Chain SaaS,Pre-seed,US,20 enterprise pilots,AI researcher from Cambridge,Partner referral
GridLabs,Possible management church capital a strategy listen draw toward.,B2B SaaS,Series A,Germany,Growing ARR,Former SAP product lead,Warm intro
CloudStack,Understand traditional trade trial again cover need bit small sign kid.,FinTech SaaS,Pre-seed,Netherlands,Growing ARR,Ex-Stripe engineer,Cold inbound
